iter	Passed	Remaining
908	5121	512
909	5127	507
910	5133	501
911	5138	495
912	5145	490
913	5151	484
914	5157	479
915	5164	473
916	5169	467
917	5175	462
918	5181	456
919	5187	451
920	5193	445
921	5199	439
922	5205	434
923	5210	428
924	5217	423
925	5223	417
926	5229	411
927	5236	406
928	5242	400
929	5252	395
930	5261	389
931	5268	384
932	5274	378
933	5283	373
934	5292	367
935	5299	362
936	5305	356
937	5311	351
938	5333	346
939	5345	341
940	5356	335
941	5370	330
942	5383	325
943	5391	319
944	5401	314
945	5416	309
946	5426	303
947	5436	298
948	5449	292
949	5459	287
950	5465	281
951	5477	276
952	5495	271
953	5500	265
954	5505	259
955	5510	253
956	5516	247
957	5521	242
958	5525	236
959	5529	230
960	5536	224
961	5543	218
962	5548	213
963	5553	207
964	5562	201
965	5570	196
966	5577	190
967	5585	184
968	5593	178
969	5599	173
970	5605	167
971	5612	161
972	5618	155
973	5624	150
974	5631	144
975	5635	138
976	5640	132
977	5646	127
978	5651	121
979	5656	115
980	5663	109
981	5671	103
982	5677	98
983	5685	92
984	5691	86
985	5697	80
986	5706	75
987	5711	69
988	5721	63
989	5727	57
990	5733	52
991	5750	46
992	5756	40
993	5760	34
994	5765	28
995	5770	23
996	5775	17
997	5781	11
998	5791	5
999	5796	0
