iter	RMSE
0	0.3836382788
1	0.3680825551
2	0.3544305129
3	0.3403630047
4	0.3277338426
5	0.3162634257
6	0.3058954663
7	0.295518686
8	0.2861496242
9	0.2766963164
10	0.2685695444
11	0.2604040262
12	0.2522825695
13	0.245665734
14	0.2392710189
15	0.2325759238
16	0.226300655
17	0.2196632232
18	0.2140677941
19	0.2085282741
20	0.2037626218
21	0.1992365901
22	0.1944252549
23	0.1899102666
24	0.1857356998
25	0.182277977
26	0.1791908906
27	0.1761312578
28	0.1730212279
29	0.169927981
30	0.1672136788
31	0.1645890148
32	0.1623402282
33	0.1598399797
34	0.1575968039
35	0.1555482698
36	0.1536861491
37	0.151994142
38	0.1501827967
39	0.1482472266
40	0.1465918658
41	0.1448987513
42	0.1433116602
43	0.1421281996
44	0.1408331359
45	0.1395848114
46	0.1383520991
47	0.137165317
48	0.1362725646
49	0.1353738619
50	0.1342301702
51	0.1333877826
52	0.1323909699
53	0.1315070554
54	0.1306492395
55	0.1297286212
56	0.1289369495
57	0.1279972715
58	0.1270327005
59	0.1262219106
60	0.1253148213
61	0.1245459341
62	0.1237964685
63	0.1230824922
64	0.1226966203
65	0.1219069686
66	0.1214605569
67	0.1209004862
68	0.1205023986
69	0.1198961242
70	0.1194093663
71	0.1190530374
72	0.1182904971
73	0.1177988241
74	0.1172674102
75	0.1167544131
76	0.1163904735
77	0.1161013772
78	0.115558654
79	0.1151198825
80	0.1147240797
81	0.1142463814
82	0.1137803422
83	0.1132464526
84	0.1129383358
85	0.1125743669
86	0.1121145008
87	0.1117067249
88	0.111485171
89	0.111137284
90	0.1109811263
91	0.1107582742
92	0.110559945
93	0.1102552482
94	0.1099330124
95	0.109689742
96	0.1093808138
97	0.1091667556
98	0.1089224572
99	0.1086705233
100	0.1084835537
101	0.1081822263
102	0.1078979753
103	0.1076306837
104	0.1074855156
105	0.10739572
106	0.1070130854
107	0.1067789244
108	0.1065273439
109	0.1062831194
110	0.1060031281
111	0.1059147467
112	0.1056554335
113	0.1053914108
114	0.1051120879
115	0.1049172945
116	0.1048345108
117	0.1044922285
118	0.1042874737
119	0.1040277458
120	0.1038655284
121	0.1036240727
122	0.103351122
123	0.1030621178
124	0.1028933635
125	0.1026990465
126	0.1024568872
127	0.1022830721
128	0.1022269424
129	0.1020807105
130	0.1017659319
131	0.1016361419
132	0.1013367633
133	0.1011254536
134	0.1008253531
135	0.100570529
136	0.1003849717
137	0.1001409242
138	0.09997187281
139	0.09989446857
140	0.09965692936
141	0.0995389943
142	0.09929565184
143	0.09913977283
144	0.09894843763
145	0.0986670229
146	0.09858829163
147	0.09834973608
148	0.09819722065
149	0.09789753014
150	0.09760689177
151	0.09738411847
152	0.09725052997
153	0.09706358428
154	0.09693369068
155	0.09670008963
156	0.09641739233
157	0.0961859856
158	0.09607439313
159	0.09589626022
160	0.09565802016
161	0.0953678333
162	0.09525959725
163	0.09508449728
164	0.09497406465
165	0.09484338774
166	0.09464332182
167	0.09449335313
168	0.09432277438
169	0.09417855926
170	0.09401702151
171	0.09381159971
172	0.09358864107
173	0.09332995471
174	0.09315816273
175	0.09296114086
176	0.09273073485
177	0.09258289576
178	0.09244421518
179	0.09231201966
180	0.09220879748
181	0.09198536507
182	0.09180608006
183	0.0916244318
184	0.09136672491
185	0.09117247024
186	0.09109137899
187	0.0908672587
188	0.09064448154
189	0.09045436934
190	0.09027553177
191	0.09011297654
192	0.08993531289
193	0.0897529406
194	0.08969795898
195	0.08964765984
196	0.0893387566
197	0.08916560695
198	0.08894490331
199	0.08881286948
200	0.0886088618
201	0.08852110631
202	0.08842330489
203	0.08815159178
204	0.08799589812
205	0.08786449128
206	0.0876535639
207	0.087492837
208	0.08737486686
209	0.08719824288
210	0.08703471847
211	0.0868586864
212	0.08665362946
213	0.08650779234
214	0.08640888203
215	0.0863686208
216	0.08631860145
217	0.08624269928
218	0.08602862097
219	0.08590878976
220	0.0858715679
221	0.08582839478
222	0.08579162874
223	0.08567672697
224	0.0855288147
225	0.085413135
226	0.08534115396
227	0.08517953582
228	0.08501247347
229	0.08498290231
230	0.0849042589
231	0.08485499363
232	0.08464379723
233	0.08454803579
234	0.08435733684
235	0.08420457052
236	0.08409416076
237	0.08390125301
238	0.08381967186
239	0.08366760616
240	0.08344496964
241	0.08337153397
242	0.08324571669
243	0.08315402285
244	0.08305208398
245	0.08286803847
246	0.08275597537
247	0.08260336634
248	0.08258054066
249	0.0824151051
250	0.08226455809
251	0.08210305609
252	0.08192708968
253	0.08190183824
254	0.08185960658
255	0.08175561652
256	0.08162169214
257	0.08147044294
258	0.08135184108
259	0.0812943257
260	0.08111355661
261	0.0810724104
262	0.08104371645
263	0.08088126769
264	0.08085760816
265	0.08069846627
266	0.08057834737
267	0.0804425947
268	0.08033825816
269	0.08016818387
270	0.08012716825
271	0.08002401214
272	0.0798629584
273	0.07972082765
274	0.07955508949
275	0.07947359817
276	0.07938678985
277	0.07922519467
278	0.07903873758
279	0.07891244096
280	0.07875796309
281	0.07873693049
282	0.07863499791
283	0.07847797315
284	0.07835614482
285	0.07823023083
286	0.0780950681
287	0.07794278201
288	0.07784070069
289	0.07776081346
290	0.07767336989
291	0.07755644796
292	0.07741090415
293	0.07724106145
294	0.07711624923
295	0.07707879624
296	0.07706298844
297	0.07687680548
298	0.07672738995
299	0.07669706437
300	0.07652861348
301	0.07636190806
302	0.07626356386
303	0.07618885044
304	0.0760503121
305	0.07589784065
306	0.07580575586
307	0.07579161459
308	0.07575791439
309	0.07560445802
310	0.07550883196
311	0.07544618957
312	0.07534974087
313	0.07509602001
314	0.07494409571
315	0.07484294662
316	0.07479138906
317	0.07466988046
318	0.07463687643
319	0.07446176906
320	0.0743755491
321	0.07436493978
322	0.07419244598
323	0.07405656857
324	0.07392545743
325	0.07389717978
326	0.0738464574
327	0.07376218545
328	0.07362504424
329	0.07356403523
330	0.07351150662
331	0.07346217902
332	0.07339623879
333	0.07328018619
334	0.07315019516
335	0.0730018973
336	0.07288381029
337	0.07285493109
338	0.07269187403
339	0.07265800332
340	0.07249310647
341	0.07240492719
342	0.07232448123
343	0.07217773337
344	0.07197877391
345	0.07189530312
346	0.07179437636
347	0.07165392267
348	0.07154623907
349	0.07147991009
350	0.07131875587
351	0.07117852465
352	0.07105663928
353	0.07101664224
354	0.07094047711
355	0.07090633254
356	0.0708322118
357	0.07080665047
358	0.07072576625
359	0.07060779608
360	0.07046986746
361	0.07036409648
362	0.07017048783
363	0.07007150999
364	0.06997418917
365	0.06988930738
366	0.06982033562
367	0.06968617687
368	0.06958017515
369	0.0695519824
370	0.06952947672
371	0.06939264317
372	0.06928927989
373	0.06920559643
374	0.06913670107
375	0.06904211203
376	0.06895603175
377	0.06889594739
378	0.06879422784
379	0.06867959675
380	0.06860478424
381	0.06859441507
382	0.06847352668
383	0.06836875172
384	0.068271737
385	0.06816769101
386	0.06815898757
387	0.06803673758
388	0.0678982313
389	0.06777100142
390	0.06776173991
391	0.06773366218
392	0.06759071507
393	0.06745029158
394	0.06733485283
395	0.06728493843
396	0.0671589367
397	0.06702945919
398	0.06696677226
399	0.06686647244
400	0.0668455058
401	0.0667264723
402	0.06665120582
403	0.06653620024
404	0.06647664348
405	0.06635995641
406	0.06624302262
407	0.06610856722
408	0.0660449473
409	0.06603579437
410	0.06590446576
411	0.06581120467
412	0.06572816681
413	0.06562103018
414	0.06550091903
415	0.06542350815
416	0.06539892522
417	0.06529097334
418	0.06517214824
419	0.06512387954
420	0.06508116587
421	0.06502138593
422	0.06489252588
423	0.0648213847
424	0.064712115
425	0.06464800826
426	0.06457464585
